algorithm,lambda,seed,total_cost,total_emission,service_level,total_reward
GeneticAlgorithm,0.1,2007,19308.460800000008,27930.729075687188,0.003584522411442146,-393.2171077047805
MAPPO_zeroshot,0.1,2008,7444.8508999999995,8375.860849158347,0.010676910253018644,-375.70479003164354
NearestNeighbor,0.1,2008,24593.761799999993,32409.817555384612,0.006518467981861617,-407.99606779855907
GeneticAlgorithm,0.1,2008,18564.574999999997,26717.24029037092,0.002437564131249569,-411.9128957101007
MAPPO_zeroshot,0.1,2009,7290.987900000001,8622.52243071005,0.0075531980790802585,-391.48530419778837
NearestNeighbor,0.1,2009,24593.761799999993,32409.817555384612,0.006287686881606335,-422.8546563759954
GeneticAlgorithm,0.1,2009,27456.972700000006,38707.57452934699,0.00366268423142538,-425.5171351933686
MAPPO_zeroshot,0.1,2010,7861.0089,8800.183870304392,0.01186014995473921,-383.51662616024186
NearestNeighbor,0.1,2010,24593.761799999993,32409.817555384612,0.0063811122820070666,-418.1535381548044
GeneticAlgorithm,0.1,2010,16267.031500000017,18334.539054032848,0.0036045708333268334,-409.99786323226454
MAPPO_zeroshot,0.1,2011,7861.0089,8800.183870304392,0.011738849235841163,-373.05925043331183
NearestNeighbor,0.1,2011,24593.761799999993,32409.817555384612,0.006315848899154289,-409.18550417273116
GeneticAlgorithm,0.1,2011,11659.9817,13764.820417992842,0.0012507288273379544,-410.41584356035156
MAPPO_zeroshot,0.1,2012,7861.0089,8800.183870304392,0.012203735407595543,-370.9655549199598
NearestNeighbor,0.1,2012,24593.761799999993,32409.817555384612,0.006565971441586954,-406.5457688819872
GeneticAlgorithm,0.1,2012,25980.67870000001,35127.965513003706,0.002252619968823201,-418.8338721038553
MAPPO_zeroshot,0.1,2013,6763.885899999999,7266.700333282858,0.010436404122790562,-401.5228444460254
NearestNeighbor,0.1,2013,24593.761799999993,32409.817555384612,0.0061937452746967546,-436.10141934257035
GeneticAlgorithm,0.1,2013,14164.226199999966,16924.182997971442,0.003424628754282324,-429.60828011675005
MAPPO_zeroshot,0.1,2014,10967.384900000001,13184.189927283438,0.010606811382647097,-364.0071213106829
NearestNeighbor,0.1,2014,24593.761799999993,32409.817555384612,0.006475671214701811,-392.4037997566536
GeneticAlgorithm,0.1,2014,19637.88580000003,25165.865386145728,0.0036695242225326936,-391.0351166070982
MAPPO_zeroshot,0.15,2000,10354.4429,12791.141718753532,0.009365056269658714,-387.13401214432696
NearestNeighbor,0.15,2000,24593.761799999993,32409.817555384612,0.00669764013292448,-411.1052539235838
GeneticAlgorithm,0.15,2000,12258.8412,14467.532465750466,0.003736486582501959,-399.54228385207495
MAPPO_zeroshot,0.15,2001,6506.674499999999,7305.539483984985,0.009932841161210876,-376.1034471997721
NearestNeighbor,0.15,2001,24593.761799999993,32409.817555384612,0.006391740681072479,-412.7745433492784
GeneticAlgorithm,0.15,2001,13893.502600000022,25767.34714855722,0.0023067384222662064,-413.6957496889653
MAPPO_zeroshot,0.15,2002,6769.911899999999,8171.578316314871,0.006955500507600673,-405.1219305989443
NearestNeighbor,0.15,2002,24593.761799999993,32409.817555384612,0.0060275256110335846,-432.33573457618854
GeneticAlgorithm,0.15,2002,17823.056300000015,23092.27907423919,0.001973962744331017,-435.98562316399585
MAPPO_zeroshot,0.15,2003,5999.843900000001,6438.152998887117,0.010682377178616833,-386.13528234469044
NearestNeighbor,0.15,2003,24593.761799999993,32409.817555384612,0.006227210774910404,-427.1144076357498
GeneticAlgorithm,0.15,2003,37455.85110000002,50708.26920373576,0.003831148461414602,-445.60228855126746
MAPPO_zeroshot,0.15,2004,14433.945900000004,18359.744564428416,0.008618258535884533,-409.54356659165717
NearestNeighbor,0.15,2004,24593.761799999993,32409.817555384612,0.0061635501807517385,-431.01975489640205
GeneticAlgorithm,0.15,2004,19748.725900000023,29778.066486622025,0.0035809587949612643,-427.92201292061105
